Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Active,نشط
Activities,بند واجهة
Activity Date,النشاط التاريخ
Activity Date-Time,بند واجهة
Activity Reference,النشاط المرجع
Activity Type,النشاط النوع
Admin,بند واجهة
Administrator,المسؤول
Advanced,بند واجهة
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
Amount,المبلغ
Analytics Dashboard,لوحة التحليلات
API,واجهة API
Apply Only When SLA Breached,SLA — بند واجهة
Asset Insurance,تأمين الأصول
Assign To (User),بند واجهة
Assigned,بند واجهة
Assigned To,مُسند إلى
Assigned To is mandatory before resolving/closing a ticket.,بند واجهة
Assigned To is mandatory when ticket is assigned or in progress.,بند واجهة
Assigned To Me,المُسند إليّ
At least one timesheet entry is required.,بند واجهة
Attachments,المرفقات
Audit,التدقيق
Auto Assign,بند واجهة
Auto Bill,بند واجهة
Avg CSAT,بند واجهة
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Beginner,بند واجهة
Billed,بند واجهة
Billing,الفوترة
Billing & collections,الفوترة والتحصيل
Billing Cycle,بند واجهة
Billing Item,الفوترة الصنف
Billing Rate,الفوترة السعر
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Branch belongs to another company.,بند واجهة
Breached,بند واجهة
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
Call,بند واجهة
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Cancelled,ملغى
Car Rental,تأجير السيارات
Card Break,قسم
Category,الفئة
Channel,قناة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Classification Code,رمز التصنيف
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Company is required.,الشركة is مطلوب.
Completed,مكتمل
Compliance %,امتثال %
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Contract,بند واجهة
Contract Owner,بند واجهة
Contract Start Date is mandatory.,بند واجهة
Contractor,بند واجهة
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
